intrusion-set--06a11b7e-2a36-47fe-8d3e-82c265df3258,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea,attack-pattern--7dd95ff6-712e-4056-9626-312ea4ab4c5e,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,attack-pattern--b2001907-166b-4d71-bb3c-9d26c871de09,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,attack-pattern--2edd9d6a-5674-4326-a600-ba56de467286,attack-pattern--92d7da27-2d91-488e-a00c-059dc162766d,attack-pattern--e01be9c5-e763-4caf-aeb7-000b416aef67,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,attack-pattern--6ff403bc-93e3-48be-8687-e102fdba8c88,attack-pattern--c23b740b-a42b-47a1-aec2-9d48ddd547ff,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,attack-pattern--d54416bd-0803-41ca-870a-ce1af7c05638,attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,attack-pattern--c16e5409-ee53-4d79-afdc-4099dc9292df,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,
intrusion-set--fe98767f-9df8-42b9-83c9-004b1dec8647,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,
intrusion-set--59140a2e-d117-4206-9b2c-2a8662bd9d46,attack-pattern--4b74a1d4-b0e9-4ef1-93f1-14ecc6e2f5b5,
intrusion-set--fbd29c89-18ba-4c2d-b792-51c0adee049f,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9,attack-pattern--f879d51c-5476-431c-aedf-f14d207e4d1e,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,attack-pattern--a19e86f8-1c0a-4fea-8407-23b73d615776,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,attack-pattern--853c4192-4311-43e1-bfbb-b11b14911852,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,attack-pattern--c848fcf7-6b62-4bde-8216-b6c157d48da0,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,attack-pattern--355be19c-ffc9-46d5-8d50-d6a036c675b6,attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4,attack-pattern--9422fc14-1c43-410d-ab0f-a709b76c72dc,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839,attack-pattern--4b74a1d4-b0e9-4ef1-93f1-14ecc6e2f5b5,attack-pattern--cc7b8c4e-9be0-47ca-b0bb-83915ec3ee2f,attack-pattern--3257eb21-f9a7-4430-8de1-d8b6e288f529,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd,attack-pattern--20138b9d-1aac-4a26-8654-a36b6bbf2bba,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,
intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,attack-pattern--519630c5-f03f-4882-825c-3af924935817,attack-pattern--c8e87b83-edbb-48d4-9295-4974897525b7,attack-pattern--830c9528-df21-472c-8c14-a036bf17d665,attack-pattern--7dd95ff6-712e-4056-9626-312ea4ab4c5e,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,attack-pattern--1b84d551-6de8-4b96-9930-d177677c3b1d,attack-pattern--e906ae4d-1d3a-4675-be23-22f7311c0da4,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,attack-pattern--970cdb5c-02fb-4c38-b17e-d6327cf3c810,attack-pattern--54a649ff-439a-41a4-9856-8d144a2551ba,attack-pattern--68f7e3a1-f09f-4164-9a62-16b648a0dd5a,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,attack-pattern--9422fc14-1c43-410d-ab0f-a709b76c72dc,attack-pattern--c16e5409-ee53-4d79-afdc-4099dc9292df,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,attack-pattern--20138b9d-1aac-4a26-8654-a36b6bbf2bba,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,attack-pattern--51dea151-0898-4a45-967c-3ebee0420484,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,
intrusion-set--2a158b0a-7ef8-43cb-9985-bf34d1e12050,attack-pattern--241814ae-de3f-4656-b49e-f9a80764d4b7,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,
intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,attack-pattern--10d5f3b7-6be6-4da5-9a77-0f1e2bbfcc44,attack-pattern--348f1eef-964b-4eb6-bb53-69b3dcb0c643,attack-pattern--853c4192-4311-43e1-bfbb-b11b14911852,
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,attack-pattern--20fb2507-d71c-455d-9b6d-6104461cf26b,attack-pattern--f879d51c-5476-431c-aedf-f14d207e4d1e,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,attack-pattern--f3c544dc-673c-4ef3-accb-53229f1ae077,attack-pattern--f24faf46-3b26-4dbb-98f2-63460498e433,attack-pattern--7dd95ff6-712e-4056-9626-312ea4ab4c5e,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,attack-pattern--a19e86f8-1c0a-4fea-8407-23b73d615776,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,attack-pattern--dcaa092b-7de9-4a21-977f-7fcb77e89c48,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,attack-pattern--b82f7d37-b826-4ec9-9391-8e121c78aed7,attack-pattern--92d7da27-2d91-488e-a00c-059dc162766d,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,attack-pattern--02fefddc-fb1b-423f-a76b-7552dd211d4d,attack-pattern--cd25c1b4-935c-4f0e-ba8d-552f28bc4783,attack-pattern--c848fcf7-6b62-4bde-8216-b6c157d48da0,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,attack-pattern--ff73aa03-0090-4464-83ac-f89e233c02bc,attack-pattern--970cdb5c-02fb-4c38-b17e-d6327cf3c810,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,attack-pattern--355be19c-ffc9-46d5-8d50-d6a036c675b6,attack-pattern--d54416bd-0803-41ca-870a-ce1af7c05638,attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,attack-pattern--ffe742ed-9100-4686-9e00-c331da544787,attack-pattern--99709758-2b96-48f2-a68a-ad7fbd828091,attack-pattern--56fca983-1cf1-4fd1-bda0-5e170a37ab59,attack-pattern--9422fc14-1c43-410d-ab0f-a709b76c72dc,attack-pattern--4b74a1d4-b0e9-4ef1-93f1-14ecc6e2f5b5,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,attack-pattern--d45a3d09-b3cf-48f4-9f0f-f521ee5cb05c,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,attack-pattern--cc7b8c4e-9be0-47ca-b0bb-83915ec3ee2f,attack-pattern--3b3cbbe0-6ed3-4334-b543-3ddfd8c5642d,attack-pattern--478aa214-2ca7-4ec0-9978-18798e514790,attack-pattern--4ae4f953-fe58-4cc8-a327-33257e30a830,attack-pattern--2e114e45-2c50-404c-804a-3af9564d240e,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd,attack-pattern--dc27c2ec-c5f9-4228-ba57-d67b590bda93,attack-pattern--2e0dd10b-676d-4964-acd0-8a404c92b044,attack-pattern--d21a2069-23d5-4043-ad6d-64f6b644cb1a,attack-pattern--128c55d3-aeba-469f-bd3e-c8996ab4112a,attack-pattern--51dea151-0898-4a45-967c-3ebee0420484,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,
intrusion-set--32bca8ff-d900-4877-aa65-d70baa041b74,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6,attack-pattern--6aabc5ec-eae6-422c-8311-38d45ee9838a,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd,attack-pattern--e01be9c5-e763-4caf-aeb7-000b416aef67,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,
intrusion-set--d69e568e-9ac8-4c08-b32c-d93b43ba9172,attack-pattern--4061e78c-1284-44b4-9116-73e4ac3912f7,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,attack-pattern--a19e86f8-1c0a-4fea-8407-23b73d615776,
intrusion-set--8f5e8dc7-739d-4f5e-a8a1-a66e004d7063,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,
intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475,attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,attack-pattern--a257ed11-ff3b-4216-8c9d-3938ef57064c,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,attack-pattern--92d7da27-2d91-488e-a00c-059dc162766d,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,attack-pattern--355be19c-ffc9-46d5-8d50-d6a036c675b6,attack-pattern--d54416bd-0803-41ca-870a-ce1af7c05638,attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4,attack-pattern--ffe742ed-9100-4686-9e00-c331da544787,attack-pattern--9422fc14-1c43-410d-ab0f-a709b76c72dc,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa,attack-pattern--d28ef391-8ed4-45dc-bc4a-2f43abf54416,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,attack-pattern--478aa214-2ca7-4ec0-9978-18798e514790,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,attack-pattern--f44731de-ea9f-406d-9b83-30ecbb9b4392,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,
intrusion-set--ae41895a-243f-4a65-b99b-d85022326c31,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,
intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,attack-pattern--7d751199-05fa-4a72-920f-85df4506c76c,attack-pattern--20138b9d-1aac-4a26-8654-a36b6bbf2bba,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,attack-pattern--1608f3e1-598a-42f4-a01a-2e252e81728f,attack-pattern--91ce1ede-107f-4d8b-bf4c-735e8789c94b,attack-pattern--355be19c-ffc9-46d5-8d50-d6a036c675b6,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,attack-pattern--0bf78622-e8d2-41da-a857-731472d61a92,
intrusion-set--c47f937f-1022-4f42-8525-e7a4779a14cb,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,attack-pattern--830c9528-df21-472c-8c14-a036bf17d665,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63,
intrusion-set--a653431d-6a5e-4600-8ad3-609b5af57064,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,attack-pattern--ffe742ed-9100-4686-9e00-c331da544787,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,attack-pattern--c16e5409-ee53-4d79-afdc-4099dc9292df,attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,attack-pattern--68f7e3a1-f09f-4164-9a62-16b648a0dd5a,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,attack-pattern--9b99b83a-1aac-4e29-b975-b374950551a3,attack-pattern--04ee0cb7-dac3-4c6c-9387-4c6aa096f4cf,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,
intrusion-set--7331c66a-5601-4d3f-acf6-ad9e3035eb40,attack-pattern--6ff403bc-93e3-48be-8687-e102fdba8c88,attack-pattern--56fca983-1cf1-4fd1-bda0-5e170a37ab59,attack-pattern--c848fcf7-6b62-4bde-8216-b6c157d48da0,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2,
intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0,attack-pattern--1b84d551-6de8-4b96-9930-d177677c3b1d,attack-pattern--20138b9d-1aac-4a26-8654-a36b6bbf2bba,attack-pattern--4579d9c9-d5b9-45e0-9848-0104637b579f,attack-pattern--62b8c999-dcc0-4755-bd69-09442d9359f5,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,attack-pattern--ba8e391f-14b5-496f-81f2-2d5ecd646c1c,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4,attack-pattern--edbe24e9-aec4-4994-ac75-6a6bc7f1ddd0,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,
intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,attack-pattern--1b84d551-6de8-4b96-9930-d177677c3b1d,attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b,
intrusion-set--dcd81c6e-ebf7-4a16-93e0-9a97fa49c88a,attack-pattern--1b84d551-6de8-4b96-9930-d177677c3b1d,attack-pattern--62b8c999-dcc0-4755-bd69-09442d9359f5,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,attack-pattern--d54416bd-0803-41ca-870a-ce1af7c05638,attack-pattern--04ee0cb7-dac3-4c6c-9387-4c6aa096f4cf,attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4,
intrusion-set--d1acfbb3-647b-4723-9154-800ec119006e,attack-pattern--ae676644-d2d2-41b7-af7e-9bed1b55898c,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2,attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,attack-pattern--3489cfc5-640f-4bb3-a103-9137b97de79f,
intrusion-set--7ecc3b4f-5cdb-457e-b55a-df376b359446,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0,attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,
intrusion-set--df71bb3b-813c-45eb-a8bc-f2a419837411,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,attack-pattern--1b84d551-6de8-4b96-9930-d177677c3b1d,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,
intrusion-set--0bbdf25b-30ff-4894-a1cd-49260d0dd2d9,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9,attack-pattern--f879d51c-5476-431c-aedf-f14d207e4d1e,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea,attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08,attack-pattern--7dd95ff6-712e-4056-9626-312ea4ab4c5e,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,attack-pattern--b2001907-166b-4d71-bb3c-9d26c871de09,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,attack-pattern--92d7da27-2d91-488e-a00c-059dc162766d,attack-pattern--e01be9c5-e763-4caf-aeb7-000b416aef67,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,attack-pattern--6ff403bc-93e3-48be-8687-e102fdba8c88,attack-pattern--a6525aec-acc4-47fe-92f9-b9b4de4b9228,attack-pattern--c848fcf7-6b62-4bde-8216-b6c157d48da0,attack-pattern--84e02621-8fdf-470f-bd58-993bb6a89d91,attack-pattern--62b8c999-dcc0-4755-bd69-09442d9359f5,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,attack-pattern--f4882e23-8aa7-4b12-b28a-b349c12ee9e0,attack-pattern--6aabc5ec-eae6-422c-8311-38d45ee9838a,attack-pattern--04ee0cb7-dac3-4c6c-9387-4c6aa096f4cf,attack-pattern--b9f5dbe2-4c55-4fc5-af2e-d42c1d182ec4,attack-pattern--ffe742ed-9100-4686-9e00-c331da544787,attack-pattern--9422fc14-1c43-410d-ab0f-a709b76c72dc,attack-pattern--56fca983-1cf1-4fd1-bda0-5e170a37ab59,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,attack-pattern--c21d5a77-d422-4a69-acd7-2c53c1faa34b,attack-pattern--ba8e391f-14b5-496f-81f2-2d5ecd646c1c,attack-pattern--478aa214-2ca7-4ec0-9978-18798e514790,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,attack-pattern--bb5a00de-e086-4859-a231-fa793f6797e2,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,attack-pattern--00d0b012-8a03-410e-95de-5826bf542de6,attack-pattern--9b99b83a-1aac-4e29-b975-b374950551a3,attack-pattern--51dea151-0898-4a45-967c-3ebee0420484,attack-pattern--15dbf668-795c-41e6-8219-f0447c0e64ce,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,
intrusion-set--f047ee18-7985-4946-8bfb-4ed754d3a0dd,
intrusion-set--85403903-15e0-4f9f-9be4-a259ecad4022,attack-pattern--56fca983-1cf1-4fd1-bda0-5e170a37ab59,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,attack-pattern--30208d3e-0d6b-43c8-883e-44462a514619,attack-pattern--7dd95ff6-712e-4056-9626-312ea4ab4c5e,attack-pattern--6aabc5ec-eae6-422c-8311-38d45ee9838a,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,
intrusion-set--d13c8a7f-740b-4efa-a232-de7d6bb05321,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5,attack-pattern--56fca983-1cf1-4fd1-bda0-5e170a37ab59,attack-pattern--f44731de-ea9f-406d-9b83-30ecbb9b4392,attack-pattern--6faf650d-bf31-4eb4-802d-1000cf38efaf,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670,attack-pattern--6aac77c4-eaf2-4366-8c13-ce50ab951f38,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,attack-pattern--d21a2069-23d5-4043-ad6d-64f6b644cb1a,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,attack-pattern--7fd87010-3a00-4da3-b905-410525e8ec44,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,
